RID-SubID,Node,Permutation,charPath,Clust,Degree,Small Worldness,Norm Char Path,Norm Clust
31,1000,2,2.307721722,0.579388524,115.528,3.160727576,1.586702728,5.015135067
31,1000,3,2.226164164,0.578666128,124.266,2.996332939,1.554124027,4.656673011
31,1000,4,2.24849049,0.567037202,117.062,3.124553297,1.55027119,4.843904959
31,1000,5,2.236928929,0.574806284,117.648,3.164557989,1.543916826,4.885814325
31,1500,1,2.438013787,0.553879078,130.7373333,3.911701776,1.624579093,6.354868925
31,1500,2,2.445144763,0.557338996,126.236,4.094038636,1.617616353,6.622583846
31,1500,3,2.381259506,0.557127344,128.4466667,4.115187607,1.581005045,6.506132369
31,1500,4,2.426922837,0.550800715,133.3266667,3.816486777,1.623696936,6.196817887
31,1500,5,2.38945964,0.555161037,134.5493333,3.864296685,1.601615359,6.189116923
31,2000,1,2.562917459,0.541308789,139.105,4.676872822,1.664089856,7.78273662
31,2000,2,2.568813907,0.542760621,136.516,4.785599862,1.66156903,7.951604522
31,2000,3,2.532042521,0.547958358,139.171,4.789320654,1.644200926,7.874605454
31,2000,4,2.521510255,0.542266248,143.689,4.58007268,1.647960044,7.547776774
31,2000,5,2.549613307,0.545801284,136.414,4.85301433,1.648898913,8.002130052
31,2500,1,2.67640048,0.533415892,143.1224,5.487481916,1.697951367,9.317477421
31,2500,2,2.718311965,0.538181222,143.3696,5.4398518,1.725140247,9.384507277
31,2500,3,2.605742457,0.537258599,149.22,5.399525301,1.667019837,9.00111579
31,2500,4,2.704540056,0.539814227,147.072,5.318773651,1.72521342,9.176019681
31,2500,5,2.624353421,0.536757832,147.3144,5.439490082,1.674615119,9.109052331
31,3000,1,2.738628654,0.527437857,150.482,6.131116984,1.715016865,10.51496903
31,3000,2,2.667207958,0.5338819,150.3113333,6.380884794,1.669912906,10.65552187
31,3000,3,2.814712904,0.526790674,153.3913333,5.822823904,1.769395235,10.30287687
31,3000,4,2.734942759,0.528922019,150.7173333,6.145127217,1.713242432,10.5280927
31,3000,5,2.864629543,0.529732105,146.85,6.062075187,1.785181097,10.82190203
31,4000,1,2.967748062,0.519803856,158.711,7.225599332,1.81308675,13.10063841
31,4000,2,2.971745686,0.521218134,155.7395,7.401171744,1.808757106,13.38692198
31,4000,3,3.000953738,0.522410766,153.383,7.481361246,1.821018073,13.62369404
31,4000,4,3.140312828,0.518291586,154.7645,7.017168315,1.90897793,13.39561945
31,4000,5,3.012130533,0.516475954,156.3395,7.202251895,1.834733845,13.21421531
31,5000,1,3.061869014,0.514140014,164.7736,8.501866877,1.83505666,15.60140744
31,5000,2,3.055019804,0.514230583,166.0064,8.446804844,1.833625393,15.48827585
31,5000,3,3.053356191,0.519121154,164.844,8.603772236,1.830107842,15.74583104
31,5000,4,3.210290698,0.516030502,163.2456,8.229814332,1.920497983,15.80534183
31,5000,5,3.089305061,0.513538534,163.5264,8.493338085,1.848743899,15.70200697
508,10,1,1,1,9,1.164390708,0.954242509,1.111111111
508,10,2,1.133333333,0.908333333,7.8,1.151813263,1.01104055,1.164529915
508,10,3,1,1,9,1.164390708,0.954242509,1.111111111
508,10,4,1,1,9,1.164390708,0.954242509,1.111111111
508,10,5,1,1,9,1.164390708,0.954242509,1.111111111
508,100,1,1.330707071,0.82002522,66.6,1.014847723,1.213255025,1.231269099
508,100,2,1.346464646,0.807239894,64.94,1.018695563,1.220241856,1.243054964
508,100,3,1.29010101,0.829227945,70.34,0.989380554,1.191538818,1.178885336
508,100,4,1.366464646,0.794675083,63.28,1.020414817,1.230683475,1.255807653
508,100,5,1.308686869,0.815567722,68.58,0.989777125,1.201503766,1.189220942
508,150,1,1.43212528,0.774760662,86.01333333,1.06122051,1.273172963,1.351117261
508,150,2,1.407427293,0.769505195,89.05333333,1.027891031,1.260972335,1.296142153
508,150,3,1.411991051,0.780885962,88.76,1.043925117,1.264131444,1.319658565
508,150,4,1.420760626,0.77739536,87.33333333,1.053521837,1.267388099,1.335221039
508,150,5,1.497986577,0.758622137,77.97333333,1.120549621,1.302385574,1.459387662
508,500,1,1.753851703,0.66099167,151.084,1.544727696,1.416105413,2.187497252
508,500,2,1.767647295,0.649129341,146.112,1.566833752,1.417726445,2.221341645
508,500,3,1.770933868,0.647523046,147.288,1.545114899,1.422646792,2.198152754
508,500,4,1.810829659,0.645507,139.8,1.603815025,1.439492849,2.308680259
508,500,5,1.782941884,0.648775811,142.864,1.59503788,1.423543841,2.270606351
508,600,1,1.795987757,0.643088173,163.2233333,1.652545276,1.430494404,2.36395677
508,600,2,1.824368392,0.641515639,160.1666667,1.659989703,1.447707976,2.403180333
508,600,3,1.795392321,0.641616597,165.0833333,1.627109214,1.433200351,2.331973497
508,600,4,1.834223706,0.632662899,154.56,1.699280467,1.44531145,2.455989516
508,600,5,1.802576516,0.641277712,158.41,1.701755718,1.427307619,2.428928901
508,850,1,1.909873207,0.61521528,177.6447059,2.007125958,1.466625196,2.943701503
508,850,2,1.889093051,0.622230119,186.9270588,1.93143571,1.464932201,2.829422365
508,850,3,1.912159634,0.609218858,175.9835294,2.00756645,1.465717629,2.942525538
508,850,4,1.911358692,0.605536542,176.9858824,1.982784405,1.466713072,2.908175805
508,850,5,1.917292316,0.610971248,172.1482353,2.061471801,1.463388793,3.016734732
508,1000,1,1.95224024,0.605098913,192.456,2.115065355,1.486521263,3.144089623
508,1000,2,1.977387387,0.607197729,179.868,2.271266311,1.486305804,3.375796301
508,1000,3,1.960354354,0.605133423,184.35,2.217191303,1.4804878,3.282524673
508,1000,4,1.962482482,0.598556307,181.43,2.232806434,1.477559014,3.299103273
508,1000,5,1.936206206,0.605672414,192.75,2.130727525,1.474740104,3.142269332
508,1500,1,2.073676673,0.581504506,215.8186667,2.652099755,1.523931628,4.041618697
508,1500,2,2.094485212,0.584633523,202.904,2.840519274,1.521551387,4.321996041
508,1500,3,2.056491883,0.577021082,208.5893333,2.76313032,1.501721765,4.14945294
508,1500,4,2.069208806,0.570213236,215.4293333,2.61180584,1.520137339,3.970303581
