AAL,AAL600,JHU,N=850,N=1000,N=5000
,,,3363,2589,359
,,,2629,1511,706
,,,789,1995,284
,,,2315,2022,340
,,,1721,2157,524
,,,1089,1912,226
,,,1608,661,172
,,,2675,3401,170
,,,3467,1050,396
,,,549,2217,171
,,,2633,1673,381
,,,1549,1052,350
,,,2287,1438,371
,,,1701,1921,219
,,,2542,1834,248
,,,1103,1062,426
,,,2672,1156,318
,,,2713,2038,630
,,,2821,2045,418
,,,2423,1030,356
,,,2158,2264,372
,,,2977,823,452
,,,1691,2686,206
,,,1214,2300,458
,,,1202,1751,231
,,,2139,1902,283
,,,2289,3161,283
,,,1784,1761,310
,,,1490,3010,282
,,,1095,987,219
,,,1049,3648,279
,,,2890,3426,345
,,,2321,2298,711
,,,1351,1782,323
,,,3863,1038,238
,,,3478,1388,601
,,,2091,1371,246
,,,2233,967,287
,,,3719,1742,285
,,,2373,1810,585
,,,1270,2125,384
,,,2562,910,468
,,,1877,3057,465
,,,480,2094,133
,,,931,1553,306
,,,3105,1677,383
,,,3691,1623,376
,,,2149,1831,356
,,,2007,696,335
,,,1056,1612,300
,,,1781,781,408
,,,1778,909,324
,,,2114,812,358
,,,1465,1962,326
,,,,3985,324
,,,,1301,138
,,,,2610,315
,,,,1267,374
,,,,1351,247
,,,,1803,311
,,,,1668,190
,,,,2256,228
,,,,1478,291
,,,,1349,252
,,,,2671,330
,,,,1246,605
,,,,2318,197
,,,,1389,350
,,,,911,253
,,,,2927,357
,,,,960,377
,,,,1935,194
,,,,1911,346
,,,,3485,282
,,,,2056,434
,,,,1132,388
,,,,1973,111
,,,,1752,322
,,,,3430,592
,,,,607,347
,,,,966,810
,,,,1511,340
,,,,3271,329
,,,,1193,178
,,,,2538,250
,,,,1264,276
,,,,1645,536
,,,,1633,375
,,,,306,355
,,,,1255,385
,,,,2912,404
,,,,1591,103
,,,,1730,486
,,,,1459,297
,,,,1748,303
,,,,1086,362
,,,,1684,414
,,,,2419,384
,,,,1958,496
,,,,3645,461
,,,,1587,271
,,,,1897,272
,,,,2017,508
,,,,2263,321
,,,,1256,445
,,,,2789,311
,,,,1486,238
,,,,3425,539
,,,,1791,590
,,,,2629,196
,,,,1603,325
,,,,1701,528
,,,,2197,266
,,,,1294,322
,,,,1939,197
,,,,2118,398
,,,,796,421
,,,,1090,596
,,,,1340,399
,,,,2127,389
,,,,1405,340
,,,,2056,359
,,,,657,319
,,,,481,273
,,,,1838,583
,,,,1822,323
,,,,2227,138
,,,,2074,632
,,,,1640,281
,,,,1397,415
,,,,2122,248
,,,,1814,302
,,,,3091,373
,,,,851,345
,,,,1297,179
,,,,2837,447
,,,,872,256
,,,,2512,313
,,,,3263,343
,,,,1605,313
,,,,3489,174
,,,,1570,172
,,,,4229,527
,,,,1044,176
,,,,1629,541
,,,,2849,485
,,,,1680,415
,,,,1759,300
,,,,1445,288
,,,,1173,296
,,,,2544,320
,,,,2478,110
,,,,2945,241
,,,,2511,293
,,,,1265,364
,,,,2914,467
,,,,2039,454
,,,,1153,352
,,,,1883,228
,,,,1759,455
,,,,1796,249
,,,,2383,445
,,,,3822,389
,,,,1160,560
,,,,2467,251
,,,,1812,545
,,,,2672,405
,,,,1032,206
,,,,2265,254
,,,,1695,356
,,,,1574,274
,,,,1532,435
,,,,2554,375
,,,,1588,489
,,,,1828,468
,,,,1811,267
,,,,1741,286
,,,,1725,412
,,,,1310,518
,,,,2617,395
,,,,1415,388
,,,,1538,189
,,,,1268,370
,,,,2166,459
,,,,1658,276
,,,,1215,388
,,,,946,262
,,,,1607,406
,,,,1282,341
,,,,1455,617
,,,,479,347
,,,,1883,447
,,,,1856,300
,,,,1578,739
,,,,978,235
,,,,1148,413
,,,,4349,301
,,,,1709,656
,,,,1752,594
,,,,1782,408
,,,,1732,380
,,,,845,589
,,,,1572,464
,,,,743,439
,,,,,326
,,,,,452
,,,,,514
,,,,,228
,,,,,312
,,,,,484
,,,,,415
,,,,,316
,,,,,330
,,,,,316
,,,,,303
,,,,,300
,,,,,322
,,,,,286
,,,,,178
,,,,,210
,,,,,268
,,,,,428
,,,,,735
,,,,,525
,,,,,506
,,,,,300
,,,,,274
,,,,,350
,,,,,226
,,,,,424
,,,,,527
,,,,,271
,,,,,231
,,,,,343
,,,,,290
,,,,,566
,,,,,207
,,,,,175
,,,,,269
,,,,,157
,,,,,327
,,,,,274
,,,,,349
,,,,,205
,,,,,850
,,,,,651
,,,,,204
,,,,,201
,,,,,481
,,,,,316
,,,,,424
,,,,,353
,,,,,490
,,,,,377
,,,,,333
,,,,,382
,,,,,322
,,,,,247
,,,,,361
,,,,,495
,,,,,428
,,,,,273
,,,,,306
,,,,,285
,,,,,332
,,,,,618
,,,,,356
,,,,,781
,,,,,443
,,,,,528
,,,,,93
,,,,,349
,,,,,458
,,,,,719
,,,,,422
,,,,,387
,,,,,492
,,,,,495
,,,,,221
,,,,,441
,,,,,251
,,,,,264
,,,,,372
,,,,,671
,,,,,295
,,,,,350
,,,,,435
,,,,,376
,,,,,268
,,,,,269
,,,,,357
,,,,,455
,,,,,409
,,,,,481
,,,,,564
,,,,,455
,,,,,527
,,,,,140
,,,,,189
,,,,,317
,,,,,407
,,,,,462
,,,,,370
,,,,,430
,,,,,368
,,,,,324
,,,,,333
,,,,,297
,,,,,198
,,,,,232
,,,,,254
,,,,,434
,,,,,255
,,,,,305
,,,,,328
,,,,,483
,,,,,331
,,,,,293
,,,,,509
,,,,,424
,,,,,546
,,,,,194
,,,,,470
,,,,,302
,,,,,331
,,,,,394
,,,,,220
,,,,,383
,,,,,350
,,,,,312
,,,,,245
,,,,,505
,,,,,399
,,,,,285
,,,,,387
,,,,,445
,,,,,450
,,,,,531
,,,,,271
,,,,,368
,,,,,439
,,,,,349
,,,,,631
,,,,,422
,,,,,359
,,,,,258
,,,,,449
,,,,,278
,,,,,401
,,,,,516
,,,,,535
,,,,,536
,,,,,276
,,,,,196
,,,,,196
,,,,,534
,,,,,395
,,,,,548
,,,,,411
,,,,,296
,,,,,318
,,,,,217
,,,,,356
,,,,,323
,,,,,372
,,,,,315
,,,,,416
,,,,,221
,,,,,389
,,,,,290
,,,,,331
,,,,,264
,,,,,159
,,,,,333
,,,,,98
,,,,,185
,,,,,480
,,,,,200
,,,,,395
,,,,,219
,,,,,367
,,,,,446
,,,,,340
,,,,,494
,,,,,353
,,,,,220
,,,,,369
,,,,,306
,,,,,251
,,,,,378
,,,,,399
,,,,,309
,,,,,284
,,,,,390
,,,,,260
,,,,,185
,,,,,361
,,,,,368
,,,,,311
,,,,,467
,,,,,166
,,,,,251
,,,,,263
,,,,,244
,,,,,300
,,,,,292
,,,,,332
,,,,,495
,,,,,613
,,,,,348
,,,,,118
,,,,,589
,,,,,391
,,,,,246
,,,,,496
,,,,,368
,,,,,600
,,,,,382
,,,,,359
,,,,,426
,,,,,278
,,,,,526
,,,,,218
,,,,,379
,,,,,274
,,,,,518
,,,,,436
,,,,,479
,,,,,395
,,,,,591
,,,,,308
,,,,,527
,,,,,353
,,,,,520
,,,,,244
,,,,,396
,,,,,283
,,,,,461
,,,,,370
,,,,,350
,,,,,410
,,,,,326
,,,,,398
,,,,,442
,,,,,513
,,,,,350
,,,,,522
,,,,,272
,,,,,308
,,,,,193
,,,,,699
,,,,,444
,,,,,376
,,,,,361
,,,,,298
,,,,,337
,,,,,628
,,,,,277
,,,,,378
,,,,,246
,,,,,382
,,,,,472
,,,,,303
,,,,,121
